Plant,City,Country,Region,Latitude,Longitude,latlong,address
BERKELEY,stroud, England, United Kingdom,51.6925,-2.493611,"(51.6925, -2.493611)","['Car Park D', ' Penny Lane', ' Ham and Stone', ' Berkeley', ' Stroud', ' Gloucestershire', ' South West England', ' England', ' GL13 9', ' United Kingdom']"
BRADWELL,maldon, England, United Kingdom,51.741389,0.896944,"(51.741389, 0.8969440000000001)","['Bradwell-on-Sea', ' Maldon', ' Essex', ' East of England', ' England', ' CM0 7HP', ' United Kingdom']"
CHAPELCROSS, Annan, Scotland, United Kingdom,55.01566,-3.22605,"(55.01566, -3.22605)","['Creca', ' Annan', ' Dumfries and Galloway', ' Scotland', ' DG12 6RD', ' United Kingdom']"
DOUNREAY,Crosskirk, Scotland, United Kingdom,58.57814,-3.75233,"(58.57814000000001, -3.75233)","['Prototype Fast Reactor', ' A836', ' Bridge of Forss', ' Crosskirk', ' Highland', ' Scotland', ' KW14 7RW', ' United Kingdom']"
DUNGENESS,folkestone, England, United Kingdom,50.913889,0.963889,"(50.91388900000001, 0.963889)","['Switch House Avenue', ' Dungeness Nuclear Power Station', ' Lydd', ' Dungeness', ' Folkestone and Hythe', ' Kent', ' South East', ' England', ' TN29 9PP', ' United Kingdom']"
HARTLEPOOL,hartlepool, England, United Kingdom,54.634824,-1.18081,"(54.634824, -1.18081)","['Tank', ' Zinc Works Road', ' Hartlepool', ' North East England', ' England', ' TS25 2DT', ' United Kingdom']"
HEYSHAM,lancaster, England, United Kingdom,54.029927,-2.914384,"(54.029927, -2.914384)","['Heysham', ' Lancaster', ' Lancashire', ' North West England', ' England', ' LA3 2XE', ' United Kingdom']"
HINKLEY POINT A,somerset, England, United Kingdom,51.208739,-3.133743,"(51.208739, -3.133743)","['Hinkley Point A Reactor 1', ' Wick Moor Drove', ' Stogursey', ' Somerset West and Taunton', ' Somerset', ' South West England', ' England', ' TA5 1UD', ' United Kingdom']"
HINKLEY POINT B,somerset, England, United Kingdom,51.209034,-3.127477,"(51.209034, -3.127477)","['Hinkley Point B', ' Wick Moor Drove', ' Stogursey', ' Somerset West and Taunton', ' Somerset', ' South West England', ' England', ' TA5 1UD', ' United Kingdom']"
HUNTERSTON A, Power Station Road, Scotland, United Kingdom,55.720224,-4.896656,"(55.720224, -4.896656)","['Reactor 2 (Decomissioned)', ' Power Station Road', ' West Kilbride', ' North Ayrshire', ' Scotland', ' KA23 9QF', ' United Kingdom']"
HUNTERSTON B, West Kilbride, Scotland, United Kingdom,55.722222,-4.89,"(55.722222, -4.89)","['WHVDC Road', ' West Kilbride', ' North Ayrshire', ' Scotland', ' KA23 9QF', ' United Kingdom']"
OLDBURY,oldbury, England, United Kingdom,51.648671,-2.57107,"(51.648671, -2.57107)","['Oldbury Substation', ' Shepperdine Road', ' Shepperdine', ' Oldbury-upon-Severn', ' Oldbury on Severn', ' South Gloucestershire', ' South West England', ' England', ' BS35', ' United Kingdom']"
SELLAFIELD,cumbria, England, United Kingdom,54.4205,-3.4975,"(54.4205, -3.4975)","['High Level Waste Tanks', ' Sellafield Road', ' Beckermet', ' Copeland', ' Cumbria', ' North West England', ' England', ' CA20 1DS', ' United Kingdom']"
SIZEWELL,suffolk, England, United Kingdom,52.215,1.61972,"(52.215, 1.61972)","['Emergency Diesel Generators', ' Sizewell Gap', ' Sizewell', ' Leiston', ' East Suffolk', ' Suffolk', ' East of England', ' England', ' IP16 4UH', ' United Kingdom']"
TORNESS,skateraw, Scotland, United Kingdom,55.968423,-2.408406,"(55.968423, -2.4084060000000003)","['Torness Substation', ' A1', ' Skateraw', ' East Lothian', ' Scotland', ' EH42 1QS', ' United Kingdom']"
TRAWSFYNYDD,gellilydan, Cymru / Wales, United Kingdom,52.924864,-3.948439,"(52.924864, -3.948439)","['Trawsfynydd Nuclear Power Station', ' Maentwrog', ' Gellilydan', ' Gwynedd', ' Cymru / Wales', ' LL41 4DT', ' United Kingdom']"
WINFRITH,dorset, England, United Kingdom,50.682,-2.261,"(50.682, -2.261)","['Monterey Avenue', ' Dorset Innovation Park', ' Wool', ' East Knighton', ' Dorset', ' South West England', ' England', ' DT2 8GB', ' United Kingdom']"
WYLFA,llanbadrig, Cymru / Wales, United Kingdom,53.4167,-4.48333,"(53.4167, -4.4833300000000005)","['Reactor Building', ' Nature trail', ' Llanbadrig', ' Ynys M̫n / Isle of Anglesey', ' Cymru / Wales', ' LL67 0DH', ' United Kingdom']"
